limit_profile,index,target_wavelength_nm,measured_wavelength_nm,wavelength_error_pm,target_power_mw,measured_power_mw,power_error_percent,smsr_db,peak_count,single_mode_pass,gain_ma,soa_ma,phase_ma,wavelength_a_ma,wavelength_b_ma,gain_code,soa_code,phase_code,wavelength_a_code,wavelength_b_code,pdt_reference_code,pdr_reference_code,power_feedback_channel,power_feedback_reference_code,power_feedback_rail_margin_code,power_feedback_hardware_eligible,guard_stage_count,guard_hold_ms_per_stage
fullband_2001_145mA_v1,572,1536.440000,1536.43921000,-0.790000,2.056000,2.064152272,0.396511,31.386930,158,1,144.998932,113.264465,4.706421,16.550293,10.500488,63351,49486,15422,13558,8602,,,,0,0,0,0,0
fullband_2001_145mA_v1,573,1536.460000,1536.45872000,-1.280000,2.056000,2.051331164,-0.227083,26.768243,178,1,144.998932,113.987732,4.661560,16.373291,10.290527,63351,49802,15275,13413,8430,,,,0,0,0,0,0
fullband_2001_145mA_v1,574,1536.480000,1536.47855000,-1.450000,2.056000,2.056421686,0.020510,29.528968,173,1,144.998932,113.628387,5.000000,14.964600,10.267334,63351,49645,16384,12259,8411,,,,0,0,0,0,0
fullband_2001_145mA_v1,575,1536.500000,1536.49840000,-1.600000,2.056000,2.057877307,0.091309,28.164572,143,1,144.998932,112.939453,0.994873,16.398926,10.340576,63351,49344,3260,13434,8471,,,,0,0,0,0,0
fullband_2001_145mA_v1,576,1536.520000,1536.51849000,-1.510000,2.056000,2.056717844,0.034915,26.581018,162,1,144.998932,113.548279,0.000000,15.334473,9.471436,63351,49610,0,12562,7759,,,,0,0,0,0,0
fullband_2001_145mA_v1,577,1536.540000,1536.54012000,0.120000,2.056000,2.067991184,0.583229,32.554388,170,1,144.998932,125.569153,9.999695,16.445312,10.363770,63351,54862,32767,13472,8490,,,,0,0,0,0,0
fullband_2001_145mA_v1,578,1536.560000,1536.55905000,-0.950000,2.056000,2.058383998,0.115953,28.623055,176,1,144.998932,119.480896,3.999939,14.913330,10.283203,63351,52202,13107,12217,8424,,,,0,0,0,0,0
fullband_2001_145mA_v1,579,1536.580000,1536.57943000,-0.570000,2.056000,2.049009604,-0.340000,27.128968,159,1,144.998932,129.432678,9.500122,16.783447,9.482422,63351,56550,31130,13749,7768,,,,0,0,0,0,0
fullband_2001_145mA_v1,580,1536.600000,1536.60058000,0.580000,2.056000,2.045242492,-0.523225,29.606089,177,1,144.998932,118.453217,0.911865,15.245361,8.927002,63351,51753,2988,12489,7313,,,,0,0,0,0,0
fullband_2001_145mA_v1,581,1536.620000,1536.61893000,-1.070000,2.056000,2.039725926,-0.791541,25.948501,182,1,144.998932,118.661499,0.829163,15.327148,8.969727,63351,51844,2717,12556,7348,,,,0,0,0,0,0
fullband_2001_145mA_v1,582,1536.640000,1536.63984000,-0.160000,2.056000,2.042614098,-0.651065,29.089578,172,1,144.998932,118.544769,0.758057,15.280762,9.108887,63351,51793,2484,12518,7462,,,,0,0,0,0,0
fullband_2001_145mA_v1,583,1536.660000,1536.66017000,0.170000,2.056000,2.054493838,-0.073257,30.203670,181,1,144.998932,112.339783,0.746155,14.930420,8.955078,63351,49082,2445,12231,7336,,,,0,0,0,0,0
fullband_2001_145mA_v1,584,1536.680000,1536.67897000,-1.030000,2.056000,2.055630586,-0.017968,25.754815,179,1,144.998932,121.662140,9.999695,14.809570,8.833008,63351,53155,32767,12132,7236,,,,0,0,0,0,0
fullband_2001_145mA_v1,585,1536.700000,1536.69937000,-0.630000,2.056000,2.063331550,0.356593,30.674883,139,1,144.998932,115.338135,2.925415,15.050049,9.000244,63351,50392,9586,12329,7373,,,,0,0,0,0,0
fullband_2001_145mA_v1,586,1536.720000,1536.71969000,-0.310000,2.056000,2.079837077,1.159391,28.825694,128,1,144.998932,114.466095,2.698975,15.061035,8.970947,63351,50011,8844,12338,7349,,,,0,0,0,0,0
fullband_2001_145mA_v1,587,1536.740000,1536.74006000,0.060000,2.056000,2.048528536,-0.363398,34.224386,117,1,144.998932,112.071991,2.466431,15.030518,8.985596,63351,48965,8082,12313,7361,,,,0,0,0,0,0
fullband_2001_145mA_v1,588,1536.760000,1536.75864000,-1.360000,2.056000,2.065219043,0.448397,28.871092,137,1,144.998932,115.580750,2.249146,15.021973,8.977051,63351,50498,7370,12306,7354,,,,0,0,0,0,0
fullband_2001_145mA_v1,589,1536.780000,1536.77888000,-1.120000,2.056000,2.058959604,0.143950,31.251731,136,1,144.998932,114.010620,2.212524,14.804688,8.836670,63351,49812,7250,12128,7239,,,,0,0,0,0,0
fullband_2001_145mA_v1,590,1536.800000,1536.79895000,-1.050000,2.056000,2.067703496,0.569236,26.805140,141,1,144.998932,117.871857,6.112366,15.034180,8.940430,63351,51499,20029,12316,7324,,,,0,0,0,0,0
fullband_2001_145mA_v1,591,1536.820000,1536.81875000,-1.250000,2.056000,2.061803564,0.282275,27.609327,135,1,144.998932,118.872070,6.000061,14.849854,8.819580,63351,51936,19661,12165,7225,,,,0,0,0,0,0
fullband_2001_145mA_v1,592,1536.840000,1536.83853000,-1.470000,2.056000,2.048703239,-0.354901,26.228963,144,1,144.998932,119.593048,7.000122,13.540039,8.803711,63351,52251,22938,11092,7212,,,,0,0,0,0,0
fullband_2001_145mA_v1,593,1536.860000,1536.85907000,-0.930000,2.056000,2.071877385,0.772246,27.071232,148,1,144.998932,117.317963,2.000122,13.399658,8.861084,63351,51257,6554,10977,7259,,,,0,0,0,0,0
